oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err,f_sci,f_sci_err,f_diff_corr,f_diff_corr_err,snr_corr,diff_sign,diff_mag,diff_mag_err
304204400005857,zr,58423.36091,17.878601,0.035515256,0.116657004,18.157,0.012,7.056016699966519e-08,2.30807666117583e-09,6.465839537502513e-08,2.388014835223685e-09,27.07621176439157,1.0,17.973437693651523,0.040099265517859535
304104400003613,zg,58423.41827,17.863964,0.035074327,-0.031105312,18.11,0.013,7.151784175981014e-08,2.3103587752023465e-09,6.561607013517009e-08,2.3902206277953343e-09,27.45188848767167,1.0,17.957474459627992,0.039550510532115904
304104400003613,zg,58424.36261,17.865383,0.03510481,-0.07526643,18.11,0.013,7.142443276332122e-08,2.3093465342004775e-09,6.552266113868117e-08,2.389242221794934e-09,27.42403450808635,1.0,17.95902118111149,0.039590681102665094
304104400003613,zg,58425.37573,17.817635,0.034100916,-0.09476425,18.11,0.013,7.463559510436757e-08,2.3441625581888315e-09,6.873382347972752e-08,2.42291045616594e-09,28.368288768084827,1.0,17.907073741931068,0.03827288327590684
304104400003613,zg,58425.37664,17.851822,0.034815263,-0.0896553,18.11,0.013,7.232212861642823e-08,2.319084430883184e-09,6.642035699178818e-08,2.398655785424123e-09,27.690657990781254,1.0,17.9442469862845,0.039209476536079126
304204400005857,zr,58425.45813,17.96931,0.03785002,0.11272011,18.157,0.012,6.490467804901685e-08,2.2626521538867882e-09,5.900290642437679e-08,2.344139873999066e-09,25.170386408605708,1.0,18.072816487293796,0.043135460343466096
304204400005857,zr,58425.45904,17.941048,0.03710201,0.10580483,18.157,0.012,6.66163448730331e-08,2.2764279967925753e-09,6.071457324839304e-08,2.3574395864931286e-09,25.754455637487027,1.0,18.041767633031846,0.04215721815442997
304104400003613,zg,58426.38133,17.830908,0.034375638,-0.10258769,18.11,0.013,7.372873796005393e-08,2.334335352551202e-09,6.782696633541388e-08,2.413403927558373e-09,28.104274448593458,1.0,17.921494017460287,0.03863242250726269
304204400005857,zr,58426.40401,17.95132,0.037371684,0.09898155,18.157,0.012,6.598906881671312e-08,2.2713828796211476e-09,6.008729719207306e-08,2.352568206284335e-09,25.541149893790084,1.0,18.053043326752054,0.04250929223128316
304204400005857,zr,58427.44436,17.937565,0.037011135,0.11570369,18.157,0.012,6.683039068790097e-08,2.2781487814562308e-09,6.092861906326092e-08,2.3591012801137524e-09,25.82704675584044,1.0,18.037946662435505,0.042038728431565836
304104400003613,zg,58428.31788,17.801577,0.03377298,-0.059721474,18.11,0.013,7.574765631327918e-08,2.356211454038368e-09,6.984588468863913e-08,2.434569653044545e-09,28.68921191114558,1.0,17.889647943440238,0.0378447553080511
304104400003613,zg,58428.33404,17.83957,0.034556676,-0.06924745,18.11,0.013,7.314287045432452e-08,2.3279821239479945e-09,6.724109882968447e-08,2.4072593854433823e-09,27.932635442731748,1.0,17.930912995228606,0.03886980900832418
304204400005857,zr,58428.36128,17.945492,0.037218377,0.1026933,18.157,0.012,6.634423641991534e-08,2.2742400889206885e-09,6.044246479527529e-08,2.3553269330260324e-09,25.662027613984424,1.0,18.046644584477434,0.042309057611895864
304204400005857,zr,58429.38682,17.895302,0.03593088,0.10407073,18.157,0.012,6.948310218748034e-08,2.2994434520881256e-09,6.358133056284029e-08,2.3796716514542067e-09,26.71853090487758,1.0,17.991675969676386,0.04063607421469134
304104400003613,zg,58429.42291,17.757656,0.032900147,-0.040250164,18.11,0.013,7.887467813059524e-08,2.3900727393099655e-09,7.297290650595519e-08,2.467355807048606e-09,29.57534794839488,1.0,17.842095888707124,0.03671085143791367
304104400003613,zg,58430.36544,17.765354,0.033050597,-0.07824953,18.11,0.013,7.831742502635076e-08,2.384039181230271e-09,7.241565340171071e-08,2.4615116893943317e-09,29.419179162837523,1.0,17.85041886588892,0.036905727340266446
304104400003613,zg,58430.40762,17.765133,0.03304627,-0.056039363,18.11,0.013,7.833336804501292e-08,2.3842123151834472e-09,7.243159642037287e-08,2.4616793745848074e-09,29.423651661617935,1.0,17.850179856689007,0.03690011753960615
304204400005857,zr,58430.45971,17.874912,0.035424277,0.1184911,18.157,0.012,7.08003166419967e-08,2.3099994431635643e-09,6.489854501735665e-08,2.389873303503726e-09,27.15564248624005,1.0,17.96941259921697,0.03998197447577532
304204400005857,zr,58431.33871,17.886478,0.03571052,0.11066687,18.157,0.012,7.005010651650074e-08,2.30399034203423e-09,6.414833489186069e-08,2.384065535083053e-09,26.90711893103474,1.0,17.98203653047758,0.04035126196680383
